Longitude,Latitude,Elevation Meters
4.212031,51.902251,1
4.21121,51.901641,1
4.210991,51.901479,1
4.210497,51.901112,9
4.210371,51.901012,11
4.210277,51.900929,12
4.210196,51.900841,12
4.210046,51.90066,12
4.209985,51.900557,12
4.209877,51.900459,12
4.209807,51.900397,12
4.209686,51.900286,12
4.209584,51.90028,13
4.209456,51.900271,13
4.209323,51.90025,13
4.209194,51.900221,12
4.209098,51.900184,11
4.208966,51.90013,9
4.208865,51.900072,7
4.205977,51.89838,8
4.205821,51.898287,13
4.205196,51.897897,10
4.204334,51.897355,9
4.203468,51.896821,8
4.203199,51.896638,8
4.202942,51.896454,8
4.203018,51.896406,7
4.203102,51.896403,7
4.204444,51.897181,5
4.205953,51.898004,4
4.206102,51.898066,3
4.206225,51.898082,3
4.206387,51.89809,2
4.20649,51.898098,2
4.20641,51.89833,2
4.206366,51.898404,2
4.206258,51.898489,2
4.205889,51.898734,2
4.2057,51.8988,2
4.205549,51.898821,2
4.2054,51.8988,2
4.20529,51.89876,2
4.2052,51.8987,2
4.205059,51.898634,2
4.2049,51.8986,2
4.204755,51.898618,1
4.204211,51.898836,1
4.203927,51.898985,1
4.203761,51.899124,1
4.203677,51.899223,1
4.203585,51.899371,1
4.203506,51.899591,1
4.203374,51.899812,1
4.203247,51.899973,1
4.203055,51.900148,1
4.202818,51.900318,1
4.202477,51.90054,1
4.202114,51.900735,1
4.202027,51.900795,1
4.202027,51.900859,1
4.202125,51.900975,1
4.202139,51.901025,1
4.202102,51.90108,1
4.201936,51.90113,1
4.201641,51.901178,1
4.200405,51.901528,1
4.199385,51.901703,1
4.198499,51.901827,1
4.197813,51.901913,1
4.196801,51.901995,1
4.196256,51.902023,1
4.195145,51.902017,1
4.194901,51.902005,1
4.193663,51.901946,1
4.192839,51.9019,1
4.191752,51.901843,1
4.190762,51.901852,1
4.190317,51.901882,1
4.189669,51.901953,1
4.188692,51.902117,1
4.188489,51.902154,1
4.188146,51.902169,1
4.187985,51.902173,1
4.18789,51.902183,1
4.187768,51.902226,1
4.18688,51.90274,1
4.186527,51.902951,1
4.186427,51.902995,1
4.186318,51.903005,1
4.186161,51.902994,1
4.186063,51.902955,1
4.185509,51.902669,1
4.18468,51.902249,1
4.18435,51.902168,1
4.183828,51.902128,1
4.183301,51.902126,1
4.183013,51.902174,1
4.182733,51.902244,1
4.182509,51.902333,1
4.182221,51.902505,1
4.182027,51.902688,1
4.181931,51.902841,1
4.181882,51.903006,1
4.181863,51.903211,1
4.181851,51.903403,1
4.1818,51.903564,1
4.181682,51.903703,1
4.181536,51.90383,1
4.18132,51.903955,1
4.181079,51.904046,1
4.180806,51.9041,1
4.18053,51.904128,1
4.180257,51.904152,1
4.180028,51.904154,1
4.179709,51.90414,1
4.179388,51.904144,1
4.178059,51.90418,1
4.176487,51.904224,1
4.174909,51.904272,1
4.174772,51.904301,1
4.174562,51.904356,1
4.174188,51.904457,1
4.173679,51.904602,1
4.173569,51.904645,1
4.173473,51.9046,1
4.173163,51.904369,1
4.172807,51.904092,2
4.172747,51.904055,2
4.171706,51.903373,2
4.171642,51.903257,2
4.1718,51.9022,2
4.171756,51.902049,2
4.171644,51.90196,2
4.171529,51.901914,2
4.169878,51.90144,2
4.16994,51.901815,2
4.169994,51.902018,2
4.170072,51.902165,2
4.170185,51.902275,1
4.170334,51.902461,1
4.170265,51.902515,1
4.170021,51.902608,1
4.169954,51.902629,1
4.169567,51.902749,3
4.169386,51.902809,3
4.169278,51.90285,3
4.169189,51.902756,2
4.169267,51.902728,3
4.169422,51.902825,4
4.170399,51.903871,2
4.170344,51.904126,1
4.17042,51.904336,3
4.1704,51.9044,3
4.170163,51.904805,4
4.169909,51.905287,3
4.169477,51.906018,3
4.169333,51.906216,3
4.16935,51.906274,3
4.168607,51.906245,3
4.168308,51.906262,2
4.168096,51.906286,2
4.167871,51.906301,2
4.167757,51.906303,2
4.167772,51.906567,2
4.16758,51.906592,1
4.1668,51.906466,3
4.165866,51.906254,2
4.165929,51.905878,3
4.165931,51.905301,3
4.165446,51.905316,2
4.165286,51.905302,1
4.164783,51.905219,1
4.16466,51.905195,1
4.164229,51.905091,1
4.163318,51.90485,1
4.163565,51.904497,2
4.163776,51.904474,1
4.163959,51.904425,1
4.164105,51.904378,1
4.164149,51.904337,1
4.164241,51.90417,1
4.164274,51.904101,1
4.164298,51.904022,1
4.164535,51.903959,1
4.164289,51.903275,1
4.16407,51.902702,1
4.16394,51.902578,1
4.164013,51.902509,1
4.16405,51.902429,2
4.163491,51.902525,1
4.163255,51.902264,1
4.163094,51.9021,1
4.162805,51.902208,1
4.162673,51.90225,1
4.162389,51.902341,1
4.162007,51.902423,1
4.1619,51.902449,1
4.161577,51.902539,1
4.161459,51.902599,1
4.161764,51.902803,1
4.161216,51.903172,1
